op_setting_1,op_setting_2,op_setting_3,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21
25.0028,0.6213,60,462.54,536.82,1268.11,1044.44,7.05,9.02,176.17,1915.5,8029.36,0.94,36.71,164.37,2028.44,7881.78,10.8878,0.02,307,1915,84.93,14.43,8.5087
41.9999,0.8411,100,445,550.23,1355.45,1118.18,3.91,5.71,138.68,2212.05,8338.02,1.02,42.36,130.97,2388.13,8093.43,9.3504,0.02,332,2212,100,10.66,6.3236
0.001,0,100,518.67,642.85,1597.27,1409.29,14.62,21.61,553.88,2388.1,9066.45,1.3,47.48,521.25,2388.07,8141.44,8.4899,0.03,394,2388,100,38.83,23.2633
42.0007,0.84,100,445,550,1355.39,1121.59,3.91,5.72,138.94,2212.04,8334.87,1.02,42.2,130.49,2388.11,8090.79,9.3576,0.02,331,2212,100,10.59,6.4056
10.0039,0.25,100,489.05,605.22,1503.74,1316.07,10.52,15.5,394.29,2318.97,8789.65,1.26,45.62,371.52,2388.2,8139.39,8.7085,0.03,372,2319,100,28.49,17.0793
42.0057,0.8409,100,445,549.74,1364.37,1131.12,3.91,5.71,138.57,2211.98,8337.54,1.02,42.24,130.92,2388.09,8095.59,9.4064,0.02,331,2212,100,10.58,6.2864
35.0077,0.84,100,449.44,556.15,1377.27,1138.45,5.48,8,194.16,2223.1,8356.5,1.02,41.98,183.26,2388.22,8066.05,9.3333,0.02,336,2223,100,14.69,8.9815
42.0055,0.84,100,445,550.38,1361.98,1129.44,3.91,5.72,138.34,2212.05,8330.31,1.02,42.14,130.3,2388.16,8097.54,9.389,0.02,332,2212,100,10.52,6.4172
41.9987,0.84,100,445,550.3,1355.56,1135.97,3.91,5.72,138.07,2212,8336.92,1.02,42.32,130.26,2388.14,8091.28,9.3707,0.02,331,2212,100,10.51,6.3668
42.0025,0.8416,100,445,550.25,1361.8,1131.23,3.91,5.72,137.66,2212.04,8332.33,1.02,42.34,129.63,2388.15,8086.32,9.3908,0.02,330,2212,100,10.67,6.318
9.9994,0.25,100,489.05,604.91,1510.59,1311.45,10.52,15.5,394.16,2319.01,8786.28,1.26,45.41,371.8,2388.23,8135.35,8.68,0.03,371,2319,100,28.43,17.0462
42.0043,0.8401,100,445,550.01,1361.3,1125.47,3.91,5.72,139.24,2212.03,8334.81,1.02,42.37,130.47,2388.1,8092.35,9.4004,0.02,332,2212,100,10.51,6.2841
24.9981,0.62,60,462.54,537.12,1265.1,1051.57,7.05,9.03,175.66,1915.46,8026.12,0.94,36.93,164.25,2028.38,7878.9,10.9166,0.02,308,1915,84.93,14.16,8.4984
42.0059,0.8407,100,445,549.69,1361.09,1131.16,3.91,5.72,138.65,2212.02,8339.76,1.02,42.53,130.5,2388.1,8103.92,9.3877,0.02,332,2212,100,10.49,6.3024
25.0054,0.62,60,462.54,536.96,1269.26,1058.53,7.05,9.03,175.23,1915.47,8027.78,0.94,36.99,164.39,2028.31,7876.08,10.9492,0.02,308,1915,84.93,14.22,8.5086
10.0062,0.2514,100,489.05,605.71,1505,1323.29,10.52,15.5,394,2319.03,8786.86,1.26,45.8,370.64,2388.21,8136.59,8.7083,0.03,370,2319,100,28.32,17.1119
20.0028,0.7,100,491.19,607.91,1491.7,1256.36,9.35,13.66,333.58,2324.15,8738.14,1.08,44.8,314.91,2388.2,8070.29,9.2731,0.03,368,2324,100,24.3,14.6055
42.0074,0.84,100,445,550.31,1362.18,1138.81,3.91,5.71,138.25,2212.01,8335.73,1.02,42.38,130.04,2388.14,8096.83,9.3942,0.02,333,2212,100,10.41,6.4402
20.0013,0.701,100,491.19,608.16,1494.21,1260.08,9.35,13.66,333.69,2324.1,8735.93,1.07,44.7,314.81,2388.23,8069.93,9.29,0.03,367,2324,100,24.5,14.541
42.0065,0.84,100,445,550.55,1365.65,1139.1,3.91,5.72,138.88,2212.03,8339.32,1.02,42.33,130.61,2388.15,8098.48,9.4216,0.02,333,2212,100,10.58,6.4033
42.0021,0.84,100,445,549.78,1367.17,1141.08,3.91,5.72,137.69,2212.03,8329.25,1.02,42.31,130.22,2388.13,8093.81,9.427,0.02,333,2212,100,10.46,6.2631
10.0046,0.25,100,489.05,605.44,1512.64,1320.25,10.52,15.5,393.92,2319.07,8786,1.26,45.77,371.34,2388.27,8131.09,8.6978,0.03,372,2319,100,28.4,17.0194
9.9984,0.25,100,489.05,605.42,1509.16,1319.74,10.52,15.5,393.08,2319.08,8790.5,1.26,45.92,370.73,2388.26,8136.12,8.6882,0.03,371,2319,100,28.27,16.9622
41.9982,0.8414,100,445,549.79,1362.28,1138.54,3.91,5.72,137.98,2212.05,8343.88,1.02,42.44,130.78,2388.15,8093.14,9.4027,0.02,333,2212,100,10.58,6.3288
20.0036,0.7009,100,491.19,608.23,1491.92,1264.2,9.35,13.66,334.46,2324.12,8736.92,1.07,44.56,313.89,2388.22,8067.72,9.2606,0.03,367,2324,100,24.31,14.5917
42.0028,0.8412,100,445,550.35,1360.9,1140.56,3.91,5.72,138.36,2211.87,8334.04,1.02,42.57,130.16,2388.02,8092.37,9.4271,0.02,332,2212,100,10.47,6.3938
20.0026,0.7,100,491.19,607.71,1493.03,1260.35,9.35,13.66,333.55,2324.16,8739.44,1.08,44.62,313.98,2388.25,8065.3,9.2895,0.03,367,2324,100,24.39,14.6121
20.0037,0.7004,100,491.19,608.43,1499.74,1266.78,9.35,13.66,333.34,2324.13,8746.7,1.07,44.77,314.06,2388.21,8066.16,9.2997,0.02,369,2324,100,24.39,14.6529
25.0016,0.6212,60,462.54,537.19,1273.5,1055.21,7.05,9.03,175.15,1915.41,8032.56,0.94,36.92,164.64,2028.37,7880.08,10.9584,0.02,310,1915,84.93,14.27,8.5213
25.0046,0.6219,60,462.54,537.33,1268.48,1064.06,7.05,9.03,174.87,1915.44,8016.59,0.94,37.25,163.76,2028.31,7879.87,10.9658,0.02,309,1915,84.93,14.22,8.426
41.9992,0.841,100,445,550.11,1360.76,1134.89,3.91,5.72,137.48,2211.98,8331.1,1.02,42.43,130.08,2388.08,8091.26,9.4525,0.02,332,2212,100,10.59,6.2398
